2, 6, 2, nback, 22, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0059, 1, 0.4289
2, 6, 2, nback, 23, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0058, 1, 0.4991
2, 6, 2, nback, 24, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0056, 1, 0.5082
2, 6, 2, nback, 25, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0054, 1, 0.5164
2, 6, 2, nback, 26, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0052, 1, 0.4225
2, 6, 2, nback, 27, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0051, 1, 0.4617
2, 6, 2, nback, 28, 1, 2@, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0049, 1, 0.3639
2, 6, 2, nback, 29, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0047, 1, 0.3841
2, 6, 2, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0046, 1, 0.3992
2, 6, 3, cat, 1, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0034, 1, 0.5484
2, 6, 3, cat, 2, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0033, 1, 0.5165
2, 6, 3, cat, 3, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0031, 1, 0.5547
2, 6, 3, cat, 4, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0113, 1, 0.5174
2, 6, 3, cat, 5, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2_2back, 0.0027, 1, 0.4310
2, 6, 3, cat, 6, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton_2back, 0.0025, 1, 0.4943
2, 6, 3, cat, 7, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0107, 1, 0.4851
2, 6, 3, cat, 8, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0106, 1, 0.4312
2, 6, 3, cat, 9, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0104, 1, 0.5274
2, 6, 3, cat, 10, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton_2back, 0.0102, 1, 0.4894
2, 6, 3, cat, 11, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0101, 0, 0.6286
2, 6, 3, cat, 12, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0099, 1, 0.7169
2, 6, 3, cat, 13, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2_2back, 0.0097, 1, 0.4931
2, 6, 3, cat, 14, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0095, 1, 0.4682
2, 6, 3, cat, 15, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0094, 1, 0.4833
2, 6, 3, cat, 16, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0092, 1, 0.7306
2, 6, 3, cat, 17, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0090, 1, 0.4807
2, 6, 3, cat, 18, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0089, 1, 0.4640
2, 6, 3, cat, 19, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0087, 1, 0.5581
2, 6, 3, cat, 20, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0085, 1, 0.4303
2, 6, 3, cat, 21, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1_2back, 0.0083, 1, 0.5695
