1, 1, 2, nback, 23, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0102, 1, 0.4233
1, 1, 2, nback, 24, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0122, 1, 0.8772
1, 1, 2, nback, 25, 1, 2@, 2@, 33, 036.jpg, different, nback_different_pair1_2back, 0.0142, 1, 0.8031
1, 1, 2, nback, 26, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0160, 1, 0.2493
1, 1, 2, nback, 27, 0, , 1!, 28, 074.jpg, same, nback_same_pair2, 0.0014, 0, -1.0000
1, 1, 2, nback, 28, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0035, 1, 0.7097
1, 1, 2, nback, 29, 1, 2@, 2@, 28, 074.jpg, same, nback_same_pair2_2back, 0.0054, 1, 0.5719
1, 1, 2, nback, 30, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0073, 1, 0.6019
1, 1, 3, cat, 1, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0038, 1, 0.5176
1, 1, 3, cat, 2, 0, , 2@, 14, 001.jpg, different, cat_different_pair2, 0.0058, 0, -1.0000
1, 1, 3, cat, 3, 1, 2@, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0078, 0, 0.6574
1, 1, 3, cat, 4, 1, 1!, 2@, 14, 001.jpg, different, cat_different_pair2_2back, 0.0096, 0, 0.6956
1, 1, 3, cat, 5, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0118, 1, 0.5253
1, 1, 3, cat, 6, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0137, 1, 0.9316
1, 1, 3, cat, 7, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0157, 1, 0.5376
1, 1, 3, cat, 8, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton_2back, 0.0177, 1, 0.7515
1, 1, 3, cat, 9, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0031, 1, 0.8858
1, 1, 3, cat, 10, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0051, 1, 0.8041
1, 1, 3, cat, 11, 1, 2@, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0071, 0, 0.8262
1, 1, 3, cat, 12, 0, , 2@, 9, 075.jpg, different, cat_different_pair1_2back, 0.0089, 0, -1.0000
1, 1, 3, cat, 13, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0111, 1, 0.8783
1, 1, 3, cat, 14, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0130, 1, 0.6360
1, 1, 3, cat, 15, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0150, 1, 0.7623
1, 1, 3, cat, 16, 1, 1!, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0170, 0, 0.5921
1, 1, 3, cat, 17, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1_2back, 0.0024, 0, 0.5429
1, 1, 3, cat, 18, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0043, 1, 0.6606
