2, 1, 2, cat, 23, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton_2back, 0.0103, 1, 0.6074
2, 1, 2, cat, 24, 1, 2@, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0123, 0, 0.4934
2, 1, 2, cat, 25, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0143, 0, 0.7073
2, 1, 2, cat, 26, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0163, 1, 0.5933
2, 1, 2, cat, 27, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1_2back, 0.0015, 0, 0.6078
2, 1, 2, cat, 28, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0036, 1, 0.5979
2, 1, 2, cat, 29, 0, , 2@, 8, 003.jpg, same, cat_same_pair2, 0.0056, 0, -1.0000
2, 1, 2, cat, 30, 1, 1!, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0076, 0, 0.3859
2, 1, 3, nback, 1, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0039, 1, 0.7654
2, 1, 3, nback, 2, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0059, 1, 0.6916
2, 1, 3, nback, 3, 0, , 1!, 41, 065.jpg, singleton, nback_singleton, 0.0079, 0, -1.0000
2, 1, 3, nback, 4, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0099, 1, 0.6078
2, 1, 3, nback, 5, 1, 2@, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0119, 0, 0.7097
2, 1, 3, nback, 6, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0139, 1, 0.4197
2, 1, 3, nback, 7, 1, 2@, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0159, 0, 0.7217
2, 1, 3, nback, 8, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0178, 1, 0.5598
2, 1, 3, nback, 9, 1, 1!, 2@, 33, 062.jpg, different, nback_different_pair1_2back, 0.0032, 0, 0.5425
2, 1, 3, nback, 10, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0052, 1, 0.6122
2, 1, 3, nback, 11, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0072, 1, 0.7864
2, 1, 3, nback, 12, 1, 1!, 2@, 47, 055.jpg, singleton, nback_singleton_2back, 0.0092, 0, 0.6964
2, 1, 3, nback, 13, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0112, 1, 0.5981
2, 1, 3, nback, 14, 1, 2@, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0131, 0, 0.6201
2, 1, 3, nback, 15, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0152, 1, 0.8984
2, 1, 3, nback, 16, 1, 1!, 2@, 45, 075.jpg, singleton, nback_singleton_2back, 0.0170, 0, 0.7045
2, 1, 3, nback, 17, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0025, 1, 0.8471
2, 1, 3, nback, 18, 1, 2@, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0045, 0, 0.5967
2, 1, 3, nback, 19, 0, , 1!, 39, 081.jpg, different, nback_different_pair1, 0.0065, 0, -1.0000
2, 1, 3, nback, 20, 1, 2@, 2@, 26, 090.jpg, same, nback_same_pair2_2back, 0.0085, 1, 0.6651
2, 1, 3, nback, 21, 1, 2@, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0105, 0, 0.7992
