1, 2, 2, cat, 23, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2_2back, 0.0102, 0, 0.8704
1, 2, 2, cat, 24, 1, 1!, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0123, 0, 0.7325
1, 2, 2, cat, 25, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0142, 0, 0.6827
1, 2, 2, cat, 26, 1, 1!, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0161, 0, 0.8167
1, 2, 2, cat, 27, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0015, 1, 0.6153
1, 2, 2, cat, 28, 1, 1!, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0034, 0, 0.7496
1, 2, 2, cat, 29, 1, 1!, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0055, 0, 0.7473
1, 2, 2, cat, 30, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2_2back, 0.0076, 1, 0.7213
1, 2, 3, nback, 1, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0039, 1, 0.9250
1, 2, 3, nback, 2, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0059, 1, 0.4990
1, 2, 3, nback, 3, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0078, 1, 0.5287
1, 2, 3, nback, 4, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0098, 1, 0.7270
1, 2, 3, nback, 5, 1, 2@, 2@, 40, 013.jpg, different, nback_different_pair2_2back, 0.0117, 1, 0.5811
1, 2, 3, nback, 6, 1, 2@, 2@, 33, 036.jpg, different, nback_different_pair1_2back, 0.0138, 1, 0.7390
1, 2, 3, nback, 7, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0158, 1, 0.7130
1, 2, 3, nback, 8, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0011, 1, 0.8317
