2, 2, 2, nback, 23, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0103, 1, 0.5103
2, 2, 2, nback, 24, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0123, 1, 0.7163
2, 2, 2, nback, 25, 1, 2@, 2@, 36, 043.jpg, different, nback_different_pair2_2back, 0.0143, 1, 0.6748
2, 2, 2, nback, 26, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0163, 1, 0.5447
2, 2, 2, nback, 27, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0016, 1, 0.7114
2, 2, 2, nback, 28, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0036, 1, 0.5733
2, 2, 2, nback, 29, 0, , 1!, 32, 031.jpg, same, nback_same_pair2, 0.0056, 0, -1.0000
2, 2, 2, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0076, 1, 0.7293
2, 2, 3, cat, 1, 0, , 2@, 11, 039.jpg, different, cat_different_pair1, 0.0039, 0, -1.0000
2, 2, 3, cat, 2, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0057, 0, 0.6913
2, 2, 3, cat, 3, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1_2back, 0.0079, 1, 0.6091
2, 2, 3, cat, 4, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0099, 1, 0.4712
2, 2, 3, cat, 5, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0119, 0, 0.6526
2, 2, 3, cat, 6, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton_2back, 0.0139, 1, 0.4749
2, 2, 3, cat, 7, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0159, 1, 0.6093
2, 2, 3, cat, 8, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0179, 1, 0.6711
2, 2, 3, cat, 9, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2_2back, 0.0032, 1, 0.5817
2, 2, 3, cat, 10, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0052, 1, 0.5238
2, 2, 3, cat, 11, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0072, 1, 0.5219
2, 2, 3, cat, 12, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1_2back, 0.0092, 1, 0.7756
2, 2, 3, cat, 13, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0112, 1, 0.7174
2, 2, 3, cat, 14, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0132, 1, 0.5557
2, 2, 3, cat, 15, 1, 2@, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0152, 0, 0.6737
2, 2, 3, cat, 16, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0172, 0, 0.7038
2, 2, 3, cat, 17, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0025, 1, 0.5184
2, 2, 3, cat, 18, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0045, 1, 0.5484
2, 2, 3, cat, 19, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton_2back, 0.0065, 1, 0.6024
2, 2, 3, cat, 20, 1, 1!, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0085, 0, 0.6563
2, 2, 3, cat, 21, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0104, 1, 0.8306
2, 2, 3, cat, 22, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2_2back, 0.0125, 1, 0.5563
2, 2, 3, cat, 23, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0145, 1, 0.5784
2, 2, 3, cat, 24, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0165, 1, 0.7205
2, 2, 3, cat, 25, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0018, 1, 0.6550
2, 2, 3, cat, 26, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0038, 0, 0.6770
2, 2, 3, cat, 27, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0058, 1, 0.5712
2, 2, 3, cat, 28, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0078, 1, 0.5931
2, 2, 3, cat, 29, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0098, 1, 0.6630
2, 2, 3, cat, 30, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0118, 1, 0.7172
2, 2, 4, nback, 1, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0081, 1, 0.7764
2, 2, 4, nback, 2, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0101, 1, 0.7988
2, 2, 4, nback, 3, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0121, 1, 0.6607
2, 2, 4, nback, 4, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0141, 1, 0.6747
2, 2, 4, nback, 5, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0161, 1, 0.6569
2, 2, 4, nback, 6, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0014, 1, 0.6877
2, 2, 4, nback, 7, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0034, 1, 0.6131
2, 2, 4, nback, 8, 1, 2@, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0054, 1, 0.5795
2, 2, 4, nback, 9, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0074, 1, 0.5452
2, 2, 4, nback, 10, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0094, 1, 0.6715
2, 2, 4, nback, 11, 1, 2@, 2@, 28, 071.jpg, same, nback_same_pair2_2back, 0.0114, 1, 0.8854
2, 2, 4, nback, 12, 1, 2@, 2@, 25, 059.jpg, same, nback_same_pair1_2back, 0.0134, 1, 0.6994
2, 2, 4, nback, 13, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0154, 1, 0.3614
2, 2, 4, nback, 14, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0174, 1, 0.6393
2, 2, 4, nback, 15, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0027, 1, 0.6218
2, 2, 4, nback, 16, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0047, 1, 0.6601
2, 2, 4, nback, 17, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0067, 1, 0.5138
2, 2, 4, nback, 18, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0087, 1, 0.6082
2, 2, 4, nback, 19, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0107, 1, 0.5503
2, 2, 4, nback, 20, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0127, 1, 0.6123
2, 2, 4, nback, 21, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0147, 1, 0.6982
2, 2, 4, nback, 22, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0167, 1, 0.6481
2, 2, 4, nback, 23, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0020, 1, 0.6149
2, 2, 4, nback, 24, 1, 2@, 2@, 29, 060.jpg, same, nback_same_pair1_2back, 0.0040, 1, 0.5570
2, 2, 4, nback, 25, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0060, 1, 0.6589
2, 2, 4, nback, 26, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0080, 1, 0.4889
2, 2, 4, nback, 27, 1, 2@, 2@, 41, 065.jpg, singleton, nback_singleton_2back, 0.0100, 1, 0.7028
2, 2, 4, nback, 28, 1, 2@, 2@, 45, 075.jpg, singleton, nback_singleton_2back, 0.0120, 1, 0.6287
2, 2, 4, nback, 29, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0140, 1, 0.3389
2, 2, 4, nback, 30, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0160, 1, 0.4967
2, 2, 5, cat, 1, 1, 2@, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0123, 0, 0.8365
