2, 3, 2, cat, 23, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2_2back, 0.0103, 1, 0.5089
2, 3, 2, cat, 24, 1, 1!, 2@, 21, 078.jpg, singleton, cat_singleton_2back, 0.0123, 0, 0.5392
2, 3, 2, cat, 25, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0143, 1, 0.9371
2, 3, 2, cat, 26, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0163, 0, 0.4712
2, 3, 2, cat, 27, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0016, 1, 0.5420
2, 3, 2, cat, 28, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0036, 1, 0.5556
2, 3, 2, cat, 29, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0056, 1, 0.5299
2, 3, 2, cat, 30, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0076, 1, 0.6721
2, 3, 3, nback, 1, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0039, 1, 0.7636
2, 3, 3, nback, 2, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0058, 1, 0.3696
2, 3, 3, nback, 3, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0079, 1, 0.4472
2, 3, 3, nback, 4, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0099, 1, 0.4695
2, 3, 3, nback, 5, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0117, 1, 0.4837
2, 3, 3, nback, 6, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0139, 1, 0.6253
2, 3, 3, nback, 7, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0159, 1, 0.4872
2, 3, 3, nback, 8, 1, 2@, 2@, 25, 059.jpg, same, nback_same_pair1_2back, 0.0179, 1, 0.4937
2, 3, 3, nback, 9, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0032, 1, 0.5483
2, 3, 3, nback, 10, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0051, 1, 0.4824
