TVtest2, 1, 2, nback, 23, 0, , n, 31, 028.jpg, same, nback_same_pair1, 0.0022, 0, -1.0000
TVtest2, 1, 2, nback, 24, 0, , n, 32, 057.jpg, same, nback_same_pair2, 0.0018, 0, -1.0000
TVtest2, 1, 2, nback, 25, 0, , m, 31, 028.jpg, same, nback_same_pair1_2back, 0.0020, 0, -1.0000
TVtest2, 1, 2, nback, 26, 0, , n, 41, 005.jpg, singleton, nback_singleton, 0.0012, 0, -1.0000
TVtest2, 1, 2, nback, 27, 0, , n, 29, 094.jpg, same, nback_same_pair1, 0.0020, 0, -1.0000
TVtest2, 1, 2, nback, 28, 0, , n, 30, 051.jpg, same, nback_same_pair2, 0.0022, 0, -1.0000
TVtest2, 1, 2, nback, 29, 0, , n, 45, 024.jpg, singleton, nback_singleton, 0.0011, 0, -1.0000
TVtest2, 1, 2, nback, 30, 0, , n, 48, 046.jpg, singleton, nback_singleton, 0.0016, 0, -1.0000
TVtest2, 1, 3, cat, 1, 1, m, n, 17, 061.jpg, singleton, cat_singleton, 0.0022, 0, 0.5211
TVtest2, 1, 3, cat, 2, 1, n, n, 13, 037.jpg, different, cat_different_pair1, 0.0011, 1, 0.3208
TVtest2, 1, 3, cat, 3, 1, n, m, 14, 004.jpg, different, cat_different_pair2, 0.0019, 0, 0.5958
TVtest2, 1, 3, cat, 4, 1, n, m, 21, 017.jpg, singleton, cat_singleton, 0.0010, 0, 0.4970
TVtest2, 1, 3, cat, 5, 1, m, m, 9, 056.jpg, different, cat_different_pair1, 0.0022, 1, 0.5964
TVtest2, 1, 3, cat, 6, 1, n, n, 10, 089.jpg, different, cat_different_pair2, 0.0011, 1, 0.6007
TVtest2, 1, 3, cat, 7, 1, m, m, 24, 015.jpg, singleton, cat_singleton, 0.0024, 1, 0.6208
TVtest2, 1, 3, cat, 8, 1, n, m, 11, 031.jpg, different, cat_different_pair1, 0.0019, 0, 0.5199
TVtest2, 1, 3, cat, 9, 1, n, n, 12, 050.jpg, different, cat_different_pair2, 0.0012, 1, 0.5474
TVtest2, 1, 3, cat, 10, 1, m, n, 20, 080.jpg, singleton, cat_singleton, 0.0010, 0, 0.5972
TVtest2, 1, 3, cat, 11, 1, n, n, 12, 050.jpg, different, cat_different_pair2_2back, 0.0011, 1, 0.5714
TVtest2, 1, 3, cat, 12, 1, m, n, 20, 080.jpg, singleton, cat_singleton_2back, 0.0011, 0, 0.7468
TVtest2, 1, 3, cat, 13, 1, m, m, 7, 068.jpg, same, cat_same_pair1, 0.0021, 1, 0.5957
TVtest2, 1, 3, cat, 14, 1, n, m, 8, 042.jpg, same, cat_same_pair2, 0.0009, 0, 0.4716
TVtest2, 1, 3, cat, 15, 1, n, n, 15, 070.jpg, different, cat_different_pair1, 0.0008, 1, 0.5466
TVtest2, 1, 3, cat, 16, 1, m, m, 16, 011.jpg, different, cat_different_pair2, 0.0012, 1, 0.5220
TVtest2, 1, 3, cat, 17, 1, n, m, 22, 013.jpg, singleton, cat_singleton, 0.0020, 0, 0.6708
TVtest2, 1, 3, cat, 18, 1, n, m, 16, 011.jpg, different, cat_different_pair2_2back, 0.0019, 0, 0.8708
TVtest2, 1, 3, cat, 19, 1, n, m, 22, 013.jpg, singleton, cat_singleton_2back, 0.0011, 0, 0.6466
TVtest2, 1, 3, cat, 20, 1, m, n, 3, 025.jpg, same, cat_same_pair1, 0.0011, 0, 0.5972
TVtest2, 1, 3, cat, 21, 1, n, n, 4, 036.jpg, same, cat_same_pair2, 0.0023, 1, 0.7024
TVtest2, 1, 3, cat, 22, 1, n, n, 3, 025.jpg, same, cat_same_pair1_2back, 0.0005, 1, 0.6218
TVtest2, 1, 3, cat, 23, 1, n, m, 23, 047.jpg, singleton, cat_singleton, 0.0019, 0, 0.8210
TVtest2, 1, 3, cat, 24, 1, m, n, 19, 082.jpg, singleton, cat_singleton, 0.0019, 0, 0.7957
TVtest2, 1, 3, cat, 25, 1, n, n, 1, 095.jpg, same, cat_same_pair1, 0.0020, 1, 0.6958
TVtest2, 1, 3, cat, 26, 1, m, n, 2, 003.jpg, same, cat_same_pair2, 0.0019, 0, 0.7709
TVtest2, 1, 3, cat, 27, 1, n, n, 1, 095.jpg, same, cat_same_pair1_2back, 0.0019, 1, 0.5198
TVtest2, 1, 3, cat, 28, 1, n, m, 5, 022.jpg, same, cat_same_pair1, 0.0023, 0, 0.6518
TVtest2, 1, 3, cat, 29, 1, n, m, 6, 008.jpg, same, cat_same_pair2, 0.0005, 0, 0.3725
TVtest2, 1, 3, cat, 30, 1, m, n, 18, 035.jpg, singleton, cat_singleton, 0.0010, 0, 0.3467
TVtest2, 1, 4, nback, 1, 0, , n, 41, 005.jpg, singleton, nback_singleton, 0.0026, 0, -1.0000
TVtest2, 1, 4, nback, 2, 0, , n, 29, 094.jpg, same, nback_same_pair1, 0.0015, 0, -1.0000
TVtest2, 1, 4, nback, 3, 0, , n, 30, 051.jpg, same, nback_same_pair2, 0.0014, 0, -1.0000
TVtest2, 1, 4, nback, 4, 0, , n, 48, 046.jpg, singleton, nback_singleton, 0.0022, 0, -1.0000
TVtest2, 1, 4, nback, 5, 0, , m, 30, 051.jpg, same, nback_same_pair2_2back, 0.0018, 0, -1.0000
TVtest2, 1, 4, nback, 6, 0, , n, 42, 052.jpg, singleton, nback_singleton, 0.0007, 0, -1.0000
TVtest2, 1, 4, nback, 7, 0, , n, 47, 071.jpg, singleton, nback_singleton, 0.0019, 0, -1.0000
TVtest2, 1, 4, nback, 8, 0, , n, 46, 012.jpg, singleton, nback_singleton, 0.0028, 0, -1.0000
TVtest2, 1, 4, nback, 9, 0, , m, 47, 071.jpg, singleton, nback_singleton_2back, 0.0021, 0, -1.0000
TVtest2, 1, 4, nback, 10, 0, , n, 43, 066.jpg, singleton, nback_singleton, 0.0019, 0, -1.0000
TVtest2, 1, 4, nback, 11, 0, , n, 25, 006.jpg, same, nback_same_pair1, 0.0050, 0, -1.0000
TVtest2, 1, 4, nback, 12, 0, , n, 26, 078.jpg, same, nback_same_pair2, 0.0021, 0, -1.0000
TVtest2, 1, 4, nback, 13, 0, , n, 31, 028.jpg, same, nback_same_pair1, 0.0023, 0, -1.0000
