2, 5, 2, cat, 22, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0082, 1, 0.5126
2, 5, 2, cat, 23, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0102, 1, 0.5424
2, 5, 2, cat, 24, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0122, 1, 0.5085
2, 5, 2, cat, 25, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton_2back, 0.0142, 1, 0.4666
2, 5, 2, cat, 26, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1_2back, 0.0162, 1, 0.4726
2, 5, 2, cat, 27, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0015, 1, 0.4872
2, 5, 2, cat, 28, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0035, 1, 0.6773
2, 5, 2, cat, 29, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0055, 1, 0.4513
2, 5, 2, cat, 30, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0075, 1, 0.5292
2, 5, 3, nback, 1, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0038, 1, 0.5969
2, 5, 3, nback, 2, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0058, 1, 0.5068
2, 5, 3, nback, 3, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0079, 1, 0.4568
2, 5, 3, nback, 4, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0098, 1, 0.4066
2, 5, 3, nback, 5, 1, 2@, 2@, 26, 090.jpg, same, nback_same_pair2_2back, 0.0118, 1, 0.6610
2, 5, 3, nback, 6, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0138, 1, 0.4750
2, 5, 3, nback, 7, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0158, 1, 0.6167
2, 5, 3, nback, 8, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0178, 1, 0.5190
2, 5, 3, nback, 9, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0032, 1, 0.4775
2, 5, 3, nback, 10, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0051, 1, 0.4837
