2, 4, 2, nback, 22, 1, 2@, 2@, 42, 025.jpg, singleton, nback_singleton_2back, 0.0084, 1, 0.4588
2, 4, 2, nback, 23, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0104, 1, 0.5288
2, 4, 2, nback, 24, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0124, 1, 0.5026
2, 4, 2, nback, 25, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0144, 1, 0.4926
2, 4, 2, nback, 26, 1, 2@, 2@, 31, 011.jpg, same, nback_same_pair1_2back, 0.0164, 1, 0.3787
2, 4, 2, nback, 27, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0016, 1, 0.5217
2, 4, 2, nback, 28, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0037, 1, 0.4233
2, 4, 2, nback, 29, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0057, 1, 0.5491
2, 4, 2, nback, 30, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0077, 1, 0.6195
2, 4, 3, cat, 1, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0040, 1, 0.9031
2, 4, 3, cat, 2, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0060, 1, 0.5011
2, 4, 3, cat, 3, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton_2back, 0.0080, 1, 0.5231
2, 4, 3, cat, 4, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton_2back, 0.0099, 1, 0.4332
2, 4, 3, cat, 5, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0120, 1, 0.4790
2, 4, 3, cat, 6, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0140, 1, 0.7648
2, 4, 3, cat, 7, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0160, 1, 0.4833
2, 4, 3, cat, 8, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0013, 0, 0.6338
2, 4, 3, cat, 9, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0033, 1, 0.5357
2, 4, 3, cat, 10, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1_2back, 0.0053, 1, 0.6055
2, 4, 3, cat, 11, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0073, 1, 0.6598
2, 4, 3, cat, 12, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0093, 1, 0.6738
2, 4, 3, cat, 13, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0113, 1, 0.6397
2, 4, 3, cat, 14, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0133, 1, 0.5339
2, 4, 3, cat, 15, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0153, 1, 0.5635
2, 4, 3, cat, 16, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0173, 1, 0.5298
2, 4, 3, cat, 17, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0026, 1, 0.5846
2, 4, 3, cat, 18, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2_2back, 0.0046, 1, 0.5585
2, 4, 3, cat, 19, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0066, 1, 0.5805
2, 4, 3, cat, 20, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0086, 1, 0.5461
2, 4, 3, cat, 21, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2_2back, 0.0106, 1, 0.4645
2, 4, 3, cat, 22, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0126, 1, 0.5744
2, 4, 3, cat, 23, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0146, 1, 0.6605
2, 4, 3, cat, 24, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1_2back, 0.0166, 1, 0.5466
2, 4, 3, cat, 25, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0019, 1, 0.4972
2, 4, 3, cat, 26, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0039, 1, 0.5111
2, 4, 3, cat, 27, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0059, 1, 0.5008
2, 4, 3, cat, 28, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0079, 1, 0.6111
2, 4, 3, cat, 29, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0099, 1, 0.5131
2, 4, 3, cat, 30, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0119, 1, 0.4949
2, 4, 4, nback, 1, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0082, 1, 0.8429
2, 4, 4, nback, 2, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0101, 1, 0.4569
2, 4, 4, nback, 3, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0122, 1, 0.5109
2, 4, 4, nback, 4, 1, 2@, 2@, 44, 080.jpg, singleton, nback_singleton_2back, 0.0142, 1, 0.4925
2, 4, 4, nback, 5, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0162, 1, 0.5228
2, 4, 4, nback, 6, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0015, 1, 0.7135
2, 4, 4, nback, 7, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0035, 1, 0.5756
2, 4, 4, nback, 8, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0055, 1, 0.5812
2, 4, 4, nback, 9, 1, 2@, 2@, 28, 071.jpg, same, nback_same_pair2_2back, 0.0075, 1, 0.3792
2, 4, 4, nback, 10, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0095, 1, 0.5135
2, 4, 4, nback, 11, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0115, 1, 0.6151
2, 4, 4, nback, 12, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0135, 1, 0.6135
2, 4, 4, nback, 13, 1, 2@, 2@, 33, 062.jpg, different, nback_different_pair1_2back, 0.0155, 1, 0.6516
2, 4, 4, nback, 14, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0175, 1, 0.6096
2, 4, 4, nback, 15, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0028, 1, 0.5761
2, 4, 4, nback, 16, 1, 2@, 2@, 41, 065.jpg, singleton, nback_singleton_2back, 0.0047, 1, 0.5181
2, 4, 4, nback, 17, 1, 2@, 2@, 35, 094.jpg, different, nback_different_pair1_2back, 0.0068, 1, 0.5879
2, 4, 4, nback, 18, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0088, 1, 0.3059
2, 4, 4, nback, 19, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0108, 1, 0.7522
2, 4, 4, nback, 20, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0128, 1, 0.6381
2, 4, 4, nback, 21, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0147, 1, 0.5890
2, 4, 4, nback, 22, 1, 2@, 2@, 32, 031.jpg, same, nback_same_pair2_2back, 0.0165, 1, 0.6584
2, 4, 4, nback, 23, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0021, 1, 0.4329
2, 4, 4, nback, 24, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0041, 1, 0.4390
2, 4, 4, nback, 25, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0061, 1, 0.5410
2, 4, 4, nback, 26, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0081, 1, 0.5469
2, 4, 4, nback, 27, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0101, 1, 0.7848
2, 4, 4, nback, 28, 1, 2@, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0121, 0, 0.7750
