1, 4, 2, cat, 22, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0082, 1, 0.6393
1, 4, 2, cat, 23, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0101, 1, 0.7256
1, 4, 2, cat, 24, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0123, 1, 0.6673
1, 4, 2, cat, 25, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton_2back, 0.0142, 1, 0.6493
1, 4, 2, cat, 26, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0162, 1, 0.6872
1, 4, 2, cat, 27, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0012, 1, 0.6220
1, 4, 2, cat, 28, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0036, 1, 0.7720
1, 4, 2, cat, 29, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0056, 1, 0.6100
1, 4, 2, cat, 30, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0076, 1, 0.6158
1, 4, 3, nback, 1, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0039, 1, 0.7475
1, 4, 3, nback, 2, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0058, 1, 0.5053
1, 4, 3, nback, 3, 1, 2@, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0077, 0, 0.6958
1, 4, 3, nback, 4, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0098, 1, 0.6057
1, 4, 3, nback, 5, 1, 2@, 2@, 44, 089.jpg, singleton, nback_singleton_2back, 0.0117, 1, 0.6837
1, 4, 3, nback, 6, 1, 2@, 2@, 39, 065.jpg, different, nback_different_pair1_2back, 0.0138, 1, 0.9535
1, 4, 3, nback, 7, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0158, 1, 0.7433
1, 4, 3, nback, 8, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0178, 1, 0.5413
1, 4, 3, nback, 9, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0031, 1, 0.6604
1, 4, 3, nback, 10, 1, 2@, 2@, 29, 091.jpg, same, nback_same_pair1_2back, 0.0051, 1, 0.6820
1, 4, 3, nback, 11, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0071, 1, 0.7200
1, 4, 3, nback, 12, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0089, 1, 0.6142
1, 4, 3, nback, 13, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0111, 1, 0.6044
1, 4, 3, nback, 14, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0130, 1, 0.6902
1, 4, 3, nback, 15, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0151, 1, 0.6803
1, 4, 3, nback, 16, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0171, 1, 0.7183
