1, 3, 2, nback, 23, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0102, 1, 0.7390
1, 3, 2, nback, 24, 1, 2@, 2@, 38, 005.jpg, different, nback_different_pair2_2back, 0.0120, 1, 0.7133
1, 3, 2, nback, 25, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0142, 1, 0.7511
1, 3, 2, nback, 26, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0162, 1, 0.7570
1, 3, 2, nback, 27, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0015, 1, 0.7879
1, 3, 2, nback, 28, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0035, 1, 0.8418
1, 3, 2, nback, 29, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0055, 1, 0.8155
1, 3, 2, nback, 30, 1, 2@, 2@, 28, 074.jpg, same, nback_same_pair2_2back, 0.0075, 1, 0.7819
1, 3, 3, cat, 1, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0038, 1, 0.5372
1, 3, 3, cat, 2, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0058, 1, 0.7035
1, 3, 3, cat, 3, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton_2back, 0.0078, 1, 0.7254
1, 3, 3, cat, 4, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0097, 1, 0.7236
1, 3, 3, cat, 5, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0118, 1, 0.7131
1, 3, 3, cat, 6, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton_2back, 0.0137, 1, 0.7196
1, 3, 3, cat, 7, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0157, 1, 0.8535
1, 3, 3, cat, 8, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0177, 1, 0.9074
1, 3, 3, cat, 9, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0031, 1, 0.7861
1, 3, 3, cat, 10, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0051, 1, 0.6478
1, 3, 3, cat, 11, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0070, 0, 0.9741
1, 3, 3, cat, 12, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1_2back, 0.0089, 1, 0.9800
1, 3, 3, cat, 13, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0110, 1, 0.7781
1, 3, 3, cat, 14, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0130, 1, 0.6722
1, 3, 3, cat, 15, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0150, 1, 0.6300
1, 3, 3, cat, 16, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1_2back, 0.0170, 1, 0.6439
1, 3, 3, cat, 17, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0023, 1, 0.6669
1, 3, 3, cat, 18, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0043, 1, 0.8009
1, 3, 3, cat, 19, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0063, 1, 0.7108
1, 3, 3, cat, 20, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0082, 1, 0.6930
1, 3, 3, cat, 21, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2_2back, 0.0103, 1, 0.7470
1, 3, 3, cat, 22, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0123, 1, 0.7288
1, 3, 3, cat, 23, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0143, 1, 0.7108
1, 3, 3, cat, 24, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0163, 1, 0.6847
1, 3, 3, cat, 25, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0016, 1, 0.6835
